,u1,u2,u3,u4,u5
0,1.0,1.0,1.0,1.0,1.0
1,5.000000049502824,5.000000049502824,5.000000049502824,5.000000049502824,5.000000049502824
2,5.000000049830788,5.000000049830788,5.000000049830788,5.000000049830788,5.000000049830788
3,5.000000049659762,5.000000049659762,5.000000049659762,5.000000049659762,5.000000049659762
4,5.000000048951229,5.000000048951229,5.000000048951229,5.000000048951229,5.000000048951229
5,4.93046007847011,4.930460078470111,4.930460078470111,4.930460078470118,4.930460078470115
6,0.009929213549002277,0.009929213548999574,0.009929213549001243,0.00992921354899936,0.009929213549001939
7,0.009862233189046526,0.00986223318904558,0.009862233189043999,0.009862233189045772,0.009862233189043158
8,0.009797352256968013,0.009797352256965803,0.009797352256967705,0.009797352256967908,0.009797352256967966
9,0.009734427307745423,0.009734427307745097,0.009734427307746122,0.009734427307746934,0.009734427307744662
10,0.009673383856472841,0.009673383856471984,0.00967338385647156,0.0096733838564728,0.009673383856470137
11,0.00961415011781462,0.009614150117814772,0.00961415011781483,0.009614150117813918,0.009614150117813566
12,0.0095566577382177,0.009556657738215572,0.009556657738213434,0.009556657738211013,0.009556657738211006
13,0.00950084159807928,0.009500841598076664,0.009500841598073373,0.009500841598076171,0.009500841598076105
14,0.009446639625937498,0.00944663962593715,0.009446639625936809,0.009446639625939491,0.009446639625939496
15,0.009393992625228971,0.009393992625230023,0.009393992625229934,0.009393992625227637,0.009393992625229929
16,0.009342844112645724,0.009342844112641406,0.009342844112645155,0.009342844112642036,0.009342844112641939
17,0.00929314016727913,0.009293140167278767,0.009293140167279211,0.009293140167275985,0.009293140167275924
18,0.009244829289630701,0.009244829289634576,0.009244829289630586,0.00924482928963436,0.009244829289634451
19,0.009197862269798221,0.009197862269796268,0.009197862269796207,0.009197862269798325,0.009197862269798102
20,0.009152192064086746,0.00915219206408665,0.009152192064086906,0.009152192064086798,0.009152192064086571
21,0.009107773679534371,0.00910777367953425,0.00910777367953474,0.009107773679536841,0.009107773679539601
22,0.009064564065659203,0.009064564065655699,0.009064564065655556,0.009064564065657135,0.00906456406565736
23,0.009022522012918394,0.009022522012918652,0.009022522012918116,0.009022522012918482,0.009022522012917238
24,0.008981608057489576,0.008981608057486922,0.008981608057486018,0.008981608057487173,0.008981608057486452
25,0.00894178439181678,0.008941784391816816,0.008941784391815843,0.008941784391815156,0.008941784391817986
