,u1,u2,u3,u4,u5
31,-3.0965029689905224e-11,-3.095974073484755e-11,-3.096025616456035e-11,-3.0959575719296753e-11,-3.09601885645549e-11
32,-3.0964323874290936e-11,-3.095942176258826e-11,-3.096497352823269e-11,-3.0959873874894187e-11,-3.096012627715994e-11
33,-3.095992179663021e-11,-3.095924590499588e-11,-3.0959609546404535e-11,-3.0959483778952526e-11,-3.0964429909263405e-11
34,-3.0959742686411464e-11,-3.096479875482263e-11,-3.0960082258531886e-11,-3.095932787066027e-11,-3.096026765710338e-11
35,-3.095975548001695e-11,-3.095822675495375e-11,-3.0964864023793416e-11,-3.096433103000542e-11,-3.096502231733045e-11
36,-3.0959741385368857e-11,-3.09589169580369e-11,-3.095974745690102e-11,-3.0959459709644445e-11,-3.096028001700815e-11
37,-3.0959487682060495e-11,-3.0958194879390023e-11,-3.096011196567141e-11,-3.0960038890444987e-11,-3.0959481393687895e-11
38,-3.095993979436642e-11,-3.0964332547908316e-11,-3.095994066172816e-11,-3.0964340354144106e-11,-3.0958789889542283e-11
39,-3.096440453893257e-11,-3.096441126098604e-11,-3.096485556701647e-11,-3.0960194636087064e-11,-3.096496442091459e-11
40,-3.095966511174602e-11,-3.096025161091123e-11,-3.0959642939811595e-11,-3.095992916918513e-11,-3.096006751340219e-11
41,-3.0959843083532636e-11,-3.0965048555003173e-11,-3.0958112480024914e-11,-3.096001086383868e-11,-3.095941612471711e-11
42,-3.095975678105956e-11,-3.096435726771785e-11,-3.0959757214720575e-11,-3.09600072317614e-11,-3.096000376231445e-11
43,-3.096198512823214e-11,-3.096338850597168e-11,-3.096351064134641e-11,-3.096244465377042e-11,-3.0962313682147985e-11
44,-3.096285421114108e-11,-3.09618432739304e-11,-3.096157577414939e-11,-3.096156834736451e-11,-3.0962678136708266e-11
45,-3.096167981690037e-11,-3.0963052606586116e-11,-3.0961480974221935e-11,-3.0962390836685085e-11,-3.096276904706043e-11
46,-3.0961719241201866e-11,-3.096233357725785e-11,-3.096213191565377e-11,-3.096303199319231e-11,-3.096155343958464e-11
47,-3.09636710355053e-11,-3.096206184908837e-11,-3.0961991159106725e-11,-3.0962320539726726e-11,-3.096340695096114e-11
48,-3.096241898528399e-11,-3.096239494310081e-11,-3.096217525663561e-11,-3.096252114423369e-11,-3.09615783220245e-11
49,-3.0962567968215015e-11,-3.096234573387471e-11,-3.096175137424375e-11,-3.0962274230741434e-11,-3.096318681726254e-11
50,-3.0961583065409e-11,-3.096214096874191e-11,-3.0962056685575525e-11,-3.0963078397045294e-11,-3.0962627111443524e-11
51,-3.096291034570856e-11,-3.0962336978942166e-11,-3.096301142045609e-11,-3.0962363569000447e-11,-3.096311240033593e-11
52,-3.096186455139803e-11,-3.0961598772787975e-11,-3.0963213922316854e-11,-3.09621017883859e-11,-3.0961935214274625e-11
53,-3.096233944550211e-11,-3.09619521684861e-11,-3.096231255728823e-11,-3.09621570826967e-11,-3.0961491789138605e-11
54,-3.0963095161521386e-11,-3.0962848356449346e-11,-3.096150355273218e-11,-3.0963361400917367e-11,-3.096222755583791e-11
55,-3.096296161491879e-11,-3.0961790391969435e-11,-3.096348371247495e-11,-3.09620258806813e-11,-3.096285114826994e-11
56,-3.09632792726028e-11,-3.096247936179247e-11,-3.0962157760323055e-11,-3.096232056683178e-11,-3.096205629255224e-11
57,-3.096201609575669e-11,-3.09623986293882e-11,-3.0963068232649926e-11,-3.0962723944250054e-11,-3.0963106369461344e-11
58,-3.096265581569604e-11,-3.09634048367669e-11,-3.096283537312833e-11,-3.0961786488841614e-11,-3.096236759410101e-11
59,-3.096264649155736e-11,-3.0961587863003615e-11,-3.096176568571243e-11,-3.096202611107426e-11,-3.0961944497755727e-11
60,-3.096230363972536e-11,-3.0963165594005016e-11,-3.096283996743504e-11,-3.0962773831102515e-11,-3.096266359484663e-11
61,-3.096343683428352e-11,-3.0962169008920594e-11,-3.0963116371226385e-11,-3.096248859106346e-11,-3.0962617855067476e-11
62,-3.096220348654968e-11,-3.0963467015761494e-11,-3.0962139505068975e-11,-3.0962343185999604e-11,-3.096202147610997e-11
63,-3.0962049150370426e-11,-3.0963001947239606e-11,-3.0962498145595106e-11,-3.096368704103987e-11,-3.0963015255821273e-11
64,-3.096241234454568e-11,-3.09621692122085e-11,-3.096169457560244e-11,-3.0962581493637116e-11,-3.0962301918554414e-11
65,-3.096198427442293e-11,-3.096158592499223e-11,-3.096349714302936e-11,-3.096306888317123e-11,-3.0961622652340824e-11
66,-3.096276986021206e-11,-3.0962382122410123e-11,-3.096214601028201e-11,-3.096248102875331e-11,-3.09619740287124e-11
67,-3.09631761649762e-11,-3.0963572820341e-11,-3.0962685726123474e-11,-3.0961716246093364e-11,-3.0961672878006465e-11
68,-3.096294074402697e-11,-3.096204406817274e-11,-3.096240643564384e-11,-3.096212194099378e-11,-3.096201383248466e-11
69,-3.095839480627063e-11,-3.096505809598229e-11,-3.0960301430020906e-11,-3.0960332221362605e-11,-3.0964683571914185e-11
70,-3.095957224982995e-11,-3.0964352930889307e-11,-3.0959407667940166e-11,-3.09595254122961e-11,-3.0959495447658556e-11
71,-3.0960191058219895e-11,-3.095974274062157e-11,-3.095974209010027e-11,-3.096465179121815e-11,-3.0959185460704915e-11
72,-3.095807176823334e-11,-3.0960118199853756e-11,-3.095999156502016e-11,-3.0958868223149245e-11,-3.0959626514168534e-11
73,-3.0959500041985114e-11,-3.0964573240770756e-11,-3.0964930810667094e-11,-3.0958196830973786e-11,-3.095919490681634e-11
74,-3.09598703647698e-11,-3.096454597308612e-11,-3.0959309222382904e-11,-3.095993303165537e-11,-3.0965027480823446e-11
75,-3.09643292953018e-11,-3.096476297615094e-11,-3.096012275350288e-11,-3.095956747936024e-11,-3.096007765067265e-11
76,-3.095924286920995e-11,-3.0964535076854284e-11,-3.095881612723486e-11,-3.0959933289153387e-11,-3.0959294870256646e-11
77,-3.095950356562232e-11,-3.095979239708107e-11,-3.0964488944051845e-11,-3.0958780782244035e-11,-3.0959772230920664e-11
78,-3.095973493436593e-11,-3.0959934210725233e-11,-3.095931057763562e-11,-3.096028863641542e-11,-3.095945672808847e-11
79,-3.095887364416011e-11,-3.096436789287929e-11,-3.0958523826329155e-11,-3.0959969935186817e-11,-3.095970631142858e-11
80,-3.095974796730124e-11,-3.096178545423388e-11,-3.0961786104755186e-11,-3.0960222102463794e-11,-3.095925521096637e-11
81,-3.096007068007788e-11,-3.0960948558563706e-11,-3.096412826606406e-11,-3.096413368706169e-11,-3.096033988747731e-11
82,-3.096094649859281e-11,-3.095915806643848e-11,-3.095950364234167e-11,-3.0963890392080947e-11,-3.096101270268797e-11
83,-3.0961093502854875e-11,-3.096388442899547e-11,-3.0961700954227064e-11,-3.095934541658712e-11,-3.095931558747485e-11
84,-3.0959965024562936e-11,-3.096406471825099e-11,-3.0960679364716805e-11,-3.0959162701416004e-11,-3.095905592105454e-11
85,-3.096421486671259e-11,-3.0964284255625156e-11,-3.09600068612275e-11,-3.0960994569406636e-11,-3.0960002700601665e-11
86,-3.096388167781922e-11,-3.0959497652124666e-11,-3.0959722298814805e-11,-3.095919999797074e-11,-3.096052177594427e-11
87,-3.095950812822816e-11,-3.095965684010864e-11,-3.095958022767263e-11,-3.0960525543533584e-11,-3.0963965906775495e-11
