0,1,2,3,4,5
564.0,-5.0,584.0,-5.0,604.0,-5.0
563.479337182008,-5.413256359841624,583.4799042280747,-5.40191543850584,603.478146121525,-5.437077569499409
562.9179753269442,-5.81398074143275,582.9232331188413,-5.731506746162256,602.9184637768919,-5.756569323162223
562.3164626575741,-6.216272645969938,582.3364266875028,-6.004621880607966,602.3293547983827,-6.025610247021955
561.6725902005153,-6.661176495206775,581.7252728731364,-6.218454406718385,601.7170826994555,-6.219831731521508
560.9853127354621,-7.084372805855417,581.0942569093335,-6.401864869340537,601.0938711034823,-6.244400187942534
560.2547795604814,-7.526290693757779,580.4458881947179,-6.565509422971544,600.4661251873422,-6.310518134860016
559.4811867189603,-7.945566136665682,579.7814160647245,-6.723933176897984,599.8337312020677,-6.3373615706300335
558.6650852829883,-8.376462582774073,579.0977658979015,-6.949070159562109,599.2000547292276,-6.336167886172225
557.805366970464,-8.81790366771241,578.3916861506276,-7.172524785913748,598.5646469070736,-6.371988556908232
556.9018117898639,-9.25319994428814,577.6604443705309,-7.452310816021631,597.9262898195554,-6.395153193454584
555.9541618617909,-9.69979861717221,576.9027855977473,-7.700864639649802,597.2834787321216,-6.461068555222765
554.9631644509047,-10.120149600551212,576.1194944172803,-7.964958969690477,596.6323766440598,-6.560973206012129
553.929219172623,-10.558755965084474,575.3061812199082,-8.30130497775042,595.9691747854554,-6.703063966077881
552.8505640905408,-11.014345676557507,574.4589539946577,-8.643239527261299,595.2897548707897,-6.885334327235549
551.7248869121682,-11.499197890895068,573.5793152938547,-8.949534488796052,594.5894432475153,-7.120898138251287
550.5524932524995,-11.948675302479288,572.6653970213941,-9.32883096041622,593.8613601641649,-7.440763528756717
549.334821292877,-12.404763889970466,571.7119868153225,-9.739373161017244,593.1000232746652,-7.785974261238345
548.0720198913638,-12.851264140294717,570.7167280247318,-10.165802650798016,592.3042365121969,-8.129760988126495
546.7625567511858,-13.337998663264145,569.6781554825294,-10.605648193248715,591.4708969098349,-8.537031059113671
545.4035980085797,-13.841176188856943,568.594274583838,-11.07196978057964,590.5955303124019,-8.970300889544877
543.9957573919902,-14.315636142934824,567.4624610603211,-11.564300689759673,589.6755551604621,-9.429202149253316
542.5399196915586,-14.801117865697796,566.2839107151316,-12.006706214029403,588.7082424176511,-9.91705270696614
